BLOCKID|COUNTYFP|DISTRICT
240010006002023|001|04-004
240010006002024|001|04-004
240010007001000|001|04-008
240010007001001|001|04-008
240010007001002|001|04-008
240010007001003|001|04-008
240010007001004|001|04-008
240010007001005|001|04-008
240010007001006|001|04-008
240010007001007|001|04-008
240010007001008|001|04-008
240010007001009|001|04-008
240010007001010|001|04-008
240010007001011|001|04-008
240010007001012|001|04-008
240010007001013|001|04-008
240010007001014|001|04-008
240010007001015|001|04-008
240010007001016|001|04-008
240010007001017|001|04-008
240010007001018|001|04-008
240010007001019|001|04-008
240010007001020|001|04-008
240010007001021|001|04-008
240010007001022|001|04-008
240010007001023|001|04-008
240010007001024|001|04-008
240010007001025|001|04-008
240010007001026|001|04-008
240010007001027|001|04-008
240010007001028|001|04-008
240010007001029|001|04-008
240010007001030|001|04-008
240010007001031|001|04-008
240010007001032|001|04-008
240010007001033|001|04-008
240010007001034|001|04-008
240010007001035|001|04-008
240010007001036|001|04-008
240010007001037|001|04-008
240010007001038|001|04-008
240010007001039|001|04-008
240010007001040|001|04-008
240010007001041|001|04-008
240010007001042|001|04-008
240010007001043|001|04-008
240010007001044|001|04-008
240010007001045|001|04-008
240010007001046|001|04-008
240010007001047|001|04-008
240010007001048|001|04-008
240010007001049|001|04-008
240010007001050|001|04-008
240010007001051|001|04-008
240010007001052|001|04-008
240010007001053|001|04-008
240010007001054|001|04-008
240010007001055|001|04-008
240010007001056|001|04-008
240010007001057|001|04-008
240010007001058|001|04-008
240010007001059|001|04-005
240010007001060|001|04-005
240010007001061|001|04-008
240010007001062|001|04-008
240010007001063|001|04-008
240010007001064|001|04-008
240010007001065|001|04-008
240010007001066|001|04-008
240010007001067|001|04-008
240010007001068|001|04-008
240010007001069|001|04-008
240010007002000|001|04-003
240010007002001|001|04-003
240010007002002|001|04-003
240010007002003|001|04-003
240010007002004|001|04-003
240010007002005|001|04-003
240010007002006|001|04-003
240010007002007|001|04-003
240010007002008|001|04-003
240010007002009|001|04-003
240010007002010|001|04-003
240010007002011|001|04-003
240010007002012|001|04-003
240010007002013|001|04-003
240010007002014|001|04-003
240010007002015|001|04-003
240010007002016|001|04-003
240010007002017|001|04-003
240010007002018|001|04-003
240010007002019|001|04-003
240010007002020|001|04-003
240010007002021|001|04-003
240010007002022|001|04-003
240010007002023|001|04-003
240010007002024|001|04-003
240010007002025|001|04-003
240010007002026|001|04-003
240010007002027|001|04-003
240010007002028|001|04-003
240010007002029|001|04-003
240010007002030|001|04-003
240010007002031|001|04-003
240010007002032|001|04-003
240010007002033|001|04-003
240010007002034|001|04-003
240010007002035|001|04-003
240010007002036|001|04-003
240010007002037|001|04-003
240010007002038|001|04-003
240010007002039|001|04-003
240010007002040|001|04-003
240010007002041|001|04-003
240010007002042|001|04-003
240010007002043|001|04-003
240010007002044|001|04-003
240010007002045|001|04-003
240010007002046|001|04-003
240010007002047|001|04-003
240010007002048|001|04-003
240010007002049|001|04-003
240010007002050|001|04-003
240010007002051|001|04-003
240010007002052|001|04-003
240010007002053|001|04-003
240010007002054|001|04-003
240010007002055|001|04-003
240010007002056|001|04-003
240010007002057|001|04-003
240010007002058|001|04-003
240010007002059|001|04-003
240010007002060|001|04-003
240010007002061|001|04-003
240010007002062|001|04-003
240010007002063|001|04-003
240010007002064|001|04-008
240010007002065|001|04-003
240010007002066|001|04-003
240010007002067|001|04-003
240010007002068|001|04-003
240010007002069|001|04-003
240010008001000|001|04-002
240010008001001|001|04-002
240010008001002|001|04-002
240010008001003|001|04-002
240010008001004|001|04-002
240010008001005|001|04-002
240010008001006|001|04-002
240010008001007|001|04-002
240010008001008|001|04-002
240010008001009|001|04-002
240010008001010|001|04-005
240010008001011|001|04-005
240010008001012|001|04-005
240010008001013|001|04-005
240010008001014|001|04-005
240010008001015|001|04-005
240010008001016|001|04-005
240010008001017|001|04-005
240010008001018|001|04-005
240010008001019|001|04-005
240010008001020|001|04-005
240010008001021|001|04-005
240010008001022|001|04-005
240010008001023|001|04-005
240010008001024|001|04-005
240010008001025|001|04-005
240010008001026|001|04-005
240010008001027|001|04-005
240010008001028|001|04-005
240010008001029|001|04-005
240010008001030|001|04-005
240010008001031|001|04-005
240010008001032|001|04-005
240010008001033|001|04-005
240010008001034|001|04-005
240010008001035|001|04-005
240010008001036|001|04-005
240010008001037|001|04-005
240010008001038|001|04-005
240010008001039|001|04-005
240010008001040|001|04-005
240010008001041|001|04-005
240010008001042|001|04-005
240010008001043|001|04-005
240010008001044|001|04-005
240010008001045|001|04-005
240010008001046|001|04-005
240010008001047|001|04-005
240010008001048|001|04-005
240010008001049|001|04-005
240010008001050|001|04-005
240010008001051|001|04-005
240010008001052|001|04-005
240010008001053|001|04-005
240010008001054|001|04-005
240010008001055|001|04-005
240010008001056|001|04-005
240010008001057|001|04-005
240010008001058|001|04-005
240010008001059|001|04-005
240010008001060|001|04-005
