BLOCKID|PLACEFP
240010012001014|21325
240010012001015|21325
240010012001016|21325
240010012001017|21325
240010012001018|21325
240010012001019|21325
240010012001020|21325
240010012001021|21325
240010012001022|21325
240010012001023|21325
240010012001024|21325
240010012001025|21325
240010012001026|21325
240010012001027|21325
240010012001028|21325
240010012001029|21325
240010012001030|21325
240010012001031|21325
240010012001032|21325
240010012001033|
240010012001034|
240010012001035|21325
240010012001036|08850
240010012001037|
240010012001038|21325
240010012001039|21325
240010012001040|21325
240010012001041|21325
240010012002000|
240010012002001|
240010012002002|
240010012002003|21325
240010012002004|
240010012002005|
240010012002006|
240010012002007|
240010012002008|
240010012002009|21325
240010012002010|
240010012002011|
240010012002012|21325
240010012002013|21325
240010012002014|21325
240010012002015|21325
240010012002016|21325
240010012002017|21325
240010012002018|21325
240010012002019|21325
240010012002020|21325
240010012002021|21325
240010012002022|21325
240010012002023|21325
240010012002024|21325
240010012002025|21325
240010012002026|21325
240010012002027|21325
240010012002028|21325
240010012002029|
240010012002030|21325
240010012002031|21325
240010012002032|21325
240010012002033|21325
240010012002034|21325
240010012002035|21325
240010012002036|21325
240010012002037|21325
240010012002038|21325
240010012002039|21325
240010012002040|
240010012002041|
240010012002042|
240010012002043|21325
240010012002044|21325
240010012002045|21325
240010012002046|21325
240010012002047|21325
240010012002048|21325
240010012002049|21325
240010012002050|21325
240010013001000|21325
240010013001001|21325
240010013001002|21325
240010013001003|21325
240010013001004|21325
240010013001005|08850
240010013001006|08850
240010013001007|
240010013001008|
240010013001009|
240010013001010|08850
240010013001011|
240010013001012|63425
240010013001013|63425
240010013001014|
240010013001015|20525
240010013001016|20525
240010013001017|08850
240010013001018|08850
240010013001019|08850
240010013001020|63425
240010013001021|63425
240010013001022|63425
240010013001023|63425
240010013001024|63425
240010013001025|63425
240010013001026|63425
240010013001027|63425
240010013001028|63425
240010013001029|63425
240010013001030|63425
240010013001031|63425
240010013001032|63425
240010013001033|63425
240010013001034|63425
240010013001035|63425
240010013001036|63425
240010013001037|63425
240010013001038|63425
240010013001039|63425
240010013001040|63425
240010013001041|63425
240010013001042|63425
240010013002000|
240010013002001|63425
240010013002002|08850
240010013002003|08850
240010013002004|08850
240010013002005|08850
240010013002006|08850
240010013002007|08850
240010013002008|20525
240010013002009|20525
240010013002010|20525
240010013002011|20525
240010013002012|20525
240010013002013|63425
240010013002014|63425
240010013002015|63425
240010013002016|63425
240010013002017|63425
240010013002018|08850
240010013002019|08850
240010013002020|08850
240010013002021|08850
240010013002022|08850
240010013002023|08850
240010013002024|08850
240010013002025|08850
240010013002026|08850
240010013002027|63425
240010013002028|63425
240010013002029|08850
240010013002030|08850
240010013002031|08850
240010014011000|
240010014011001|
240010014011002|
240010014011003|
240010014011004|
240010014011005|
240010014011006|
240010014011007|
240010014011008|
240010014011009|
240010014011010|
240010014011011|
240010014011012|
240010014011013|
240010014011014|
240010014011015|
240010014011016|
240010014011017|
240010014011018|
240010014011019|
240010014011020|
240010014011021|
240010014011022|
240010014011023|
240010014011024|
240010014011025|
240010014011026|
240010014011027|
240010014011028|
240010014011029|
240010014011030|
240010014011031|
240010014011032|
240010014011033|
240010014011034|
240010014011035|20525
240010014012000|46075
240010014012001|46075
240010014012002|46075
240010014012003|46075
240010014012004|46075
240010014012005|46075
240010014012006|46075
240010014012007|46075
240010014012008|46075
240010014012009|46075
240010014012010|46075
240010014012011|
240010014012012|
240010014012013|46075
240010014012014|46075
240010014012015|46075
240010014012016|46075
240010014012017|46075
240010014012018|46075
240010014012019|46075
240010014012020|46075
240010014012021|46075
240010014012022|46075
240010014012023|46075
240010014012024|46075
240010014012025|46075
240010014012026|46075
240010014012027|46075
240010014012028|46075
240010014012029|46075
240010014012030|46075
240010014012031|46075
240010014012032|46075
240010014012033|46075
240010014012034|46075
240010014012035|46075
240010014012036|46075
240010014012037|
240010014012038|
240010014012039|46075
240010014012040|46075
240010014012041|46075
240010014012042|46075
240010014012043|46075
240010014012044|46075
240010014021000|46075
240010014021001|46075
240010014021002|46075
240010014021003|46075
240010014021004|46075
240010014021005|46075
240010014021006|46075
240010014021007|46075
240010014021008|46075
240010014021009|46075
240010014021010|46075
240010014021011|46075
240010014021012|46075
240010014021013|46075
240010014021014|46075
240010014021015|46075
240010014021016|46075
240010014021017|46075
240010014021018|46075
240010014021019|46075
240010014021020|46075
240010014021021|46075
240010014021022|46075
240010014021023|46075
240010014021024|46075
240010014021025|46075
240010014021026|46075
240010014021027|46075
240010014021028|46075
240010014021029|46075
240010014021030|46075
240010014021031|46075
240010014021032|46075
240010014021033|46075
240010014021034|46075
240010014021035|46075
240010015021000|
240010015021001|19975
240010015021002|
240010015021003|25925
240010015021004|
240010015021005|
240010015021006|
240010015021007|19975
240010015021008|19975
240010015021009|
240010015021010|
240010015021011|
240010015021012|19975
240010015021013|25925
240010015021014|19975
240010015021015|25925
240010015021016|25925
240010015021017|25925
240010015021018|25925
240010015021019|25925
240010015021020|25925
240010015021021|25925
240010015021022|25925
240010015021023|25925
240010015021024|25925
240010015021025|25925
240010015021026|25925
240010015021027|25925
240010015021028|25925
240010015021029|25925
240010015021030|25925
240010015021031|25925
240010015021032|25925
240010015021033|25925
240010015021034|25925
240010015021035|25925
240010015021036|25925
240010015021037|25925
240010015021038|25925
240010015021039|25925
240010015021040|25925
240010015021041|25925
240010015021042|
240010015021043|19975
240010015021044|19975
240010015021045|19975
240010015021046|19975
240010015021047|19975
240010015021048|19975
240010015021049|19975
240010015021050|25925
240010015021051|25925
240010015021052|25925
240010015021053|25925
240010015021054|25925
240010015021055|25925
240010015021056|19975
240010015021057|19975
240010015021058|19975
240010015021059|
240010015021060|
240010015021061|
240010015021062|19975
240010015021063|
240010015021064|46075
240010015021065|46075
240010015021066|
240010015021067|
240010015021068|
240010015021069|
240010015021070|46075
240010015021071|46075
240010015021072|46075
240010015031000|
240010015031001|04525
240010015031002|
240010015031003|
240010015031004|
240010015031005|
240010015031006|
240010015031007|
240010015031008|04525
240010015031009|
240010015031010|
240010015031011|
240010015031012|
240010015031013|54325
240010015031014|54325
240010015031015|
240010015031016|
240010015032000|
240010015032001|
240010015032002|
240010015032003|
240010015032004|
240010015032005|54325
240010015032006|54325
240010015032007|54325
240010015032008|54325
240010015032009|54325
240010015032010|54325
240010015032011|54325
240010015032012|54325
240010015032013|54325
240010015032014|54325
240010015032015|54325
240010015032016|54325
240010015032017|54325
240010015032018|54325
240010015033000|
240010015033001|
240010015033002|
240010015033003|
240010015033004|
240010015033005|54325
