BLOCKID|DISTRICT
240010002001025|00030
240010002001026|00030
240010002001027|00030
240010002001028|00030
240010002001029|00030
240010002001030|00030
240010002001031|00030
240010002001032|00030
240010002001033|00030
240010002001034|00030
240010002001035|00030
240010002001036|00030
240010002002000|00030
240010002002001|00030
240010002002002|00030
240010002002003|00030
240010002002004|00030
240010002002005|00030
240010002002006|00030
240010002002007|00030
240010002002008|00030
240010002002009|00030
240010002002010|00030
240010002002011|00030
240010002002012|00030
240010002002013|00030
240010002002014|00030
240010002002015|00030
240010002002016|00030
240010002002017|00030
240010002002018|00030
240010002002019|00030
240010002002020|00030
240010002002021|00030
240010002002022|00030
240010002002023|00030
240010002002024|00030
240010002002025|00030
240010002002026|00030
240010002002027|00030
240010002002028|00030
240010002002029|00030
240010002002030|00030
240010002002031|00030
240010002002032|00030
240010002002033|00030
240010002002034|00030
240010002002035|00030
240010002002036|00030
240010002002037|00030
240010002002038|00030
240010002003000|00030
240010002003001|00030
240010002003002|00030
240010002003003|00030
240010002003004|00030
240010002003005|00030
240010002003006|00030
240010002003007|00030
240010002003008|00030
240010002003009|00030
240010002003010|00030
240010002003011|00030
240010002003012|00030
240010002003013|00030
240010002003014|00030
240010002003015|00030
240010002003016|00030
240010002003017|00030
240010002003018|00030
240010002003019|00030
240010002003020|00030
240010002003021|00030
240010002003022|00030
240010002003023|00030
240010002003024|00030
240010002003025|00030
240010002003026|00030
240010002003027|00030
240010002003028|00030
240010002003029|00030
240010002003030|00030
240010002003031|00030
240010002003032|00030
240010002003033|00030
240010002003034|00030
240010002003035|00030
240010002003036|00030
240010005001000|00030
240010005001001|00030
240010005001002|00030
240010005001003|00030
240010005001004|00030
240010005001005|00030
240010005001006|00030
240010005001007|00030
240010005001008|00030
240010005001009|00030
240010005001010|00030
240010005001011|00030
240010005001012|00030
240010005001013|00030
240010005001014|00030
240010005001015|00030
240010005001016|00030
240010005001017|00030
240010005001018|00030
240010005001019|00030
240010005001020|00030
240010005001021|00030
240010005001022|00030
240010005001023|00030
240010005001024|00030
240010005001025|00030
240010005001026|00030
240010005001027|00030
240010005001028|00030
240010005001029|00030
240010005001030|00030
240010005001031|00030
240010005001032|00030
240010005001033|00030
240010005001034|00030
240010005001035|00030
240010005001036|00030
240010005001037|00030
240010005001038|00030
240010005001039|00030
240010005001040|00030
